# timestamp (ns), altitide (m)
1631087883137474048,1.330430000000000e+02
1631087883415678720,1.329860000000000e+02
1631087883647468800,1.329410000000000e+02
1631087883906175744,1.329040000000000e+02
1631087884140381440,1.328820000000000e+02
1631087884398695680,1.328650000000000e+02
1631087884642114048,1.328620000000000e+02
1631087884898694400,1.328530000000000e+02
1631087885131513600,1.328430000000000e+02
1631087885411872512,1.328350000000000e+02
1631087885642181376,1.328340000000000e+02
1631087885889320192,1.328290000000000e+02
1631087886143470592,1.328180000000000e+02
1631087886400021760,1.328210000000000e+02
1631087886654868736,1.328280000000000e+02
1631087886895406080,1.328380000000000e+02
1631087887152070912,1.328490000000000e+02
1631087887408209920,1.328630000000000e+02
1631087887638343936,1.328760000000000e+02
1631087887892114432,1.328880000000000e+02
1631087888148839424,1.329010000000000e+02
1631087888404642816,1.329040000000000e+02
1631087888637954560,1.328950000000000e+02
1631087888892546560,1.328830000000000e+02
1631087889147782144,1.328820000000000e+02
1631087889403102208,1.328960000000000e+02
1631087889635641344,1.329420000000000e+02
1631087889890329856,1.330020000000000e+02
1631087890145794304,1.330720000000000e+02
1631087890401515008,1.331500000000000e+02
1631087890655651328,1.332170000000000e+02
1631087890898583040,1.332660000000000e+02
1631087891152261120,1.333070000000000e+02
1631087891407778816,1.333410000000000e+02
1631087891642795776,1.333890000000000e+02
1631087891903342080,1.334370000000000e+02
1631087892136498688,1.334960000000000e+02
1631087892416359168,1.335550000000000e+02
1631087892657108480,1.336070000000000e+02
1631087892891067904,1.336480000000000e+02
1631087893146138624,1.336830000000000e+02
1631087893403932416,1.337200000000000e+02
1631087893640296960,1.337550000000000e+02
1631087893892913664,1.337900000000000e+02
1631087894146022912,1.338300000000000e+02
1631087894405124608,1.338880000000000e+02
1631087894654862080,1.339490000000000e+02
1631087894889977856,1.340050000000000e+02
1631087895145098496,1.340560000000000e+02
1631087895400801024,1.340990000000000e+02
1631087895657418496,1.341320000000000e+02
1631087895877077248,1.341600000000000e+02
1631087896153401344,1.341840000000000e+02
1631087896407855616,1.342080000000000e+02
1631087896651675648,1.342340000000000e+02
1631087896882820352,1.342510000000000e+02
1631087897138344960,1.342660000000000e+02
1631087897416294656,1.342750000000000e+02
1631087897647748864,1.342850000000000e+02
1631087897905162752,1.343090000000000e+02
1631087898137479936,1.343290000000000e+02
1631087898393495808,1.343600000000000e+02
1631087898646347776,1.343900000000000e+02
1631087898880563968,1.344180000000000e+02
1631087899138018816,1.344420000000000e+02
1631087899392888576,1.344680000000000e+02
1631087899649880576,1.344960000000000e+02
1631087899905807616,1.345250000000000e+02
1631087900140639232,1.345500000000000e+02
1631087900394882304,1.345830000000000e+02
1631087900644006912,1.346170000000000e+02
1631087900899217152,1.346480000000000e+02
1631087901154632704,1.346670000000000e+02
1631087901388596736,1.346830000000000e+02
1631087901644599552,1.347010000000000e+02
1631087901896350976,1.347200000000000e+02
1631087902152971776,1.347420000000000e+02
1631087902409934592,1.347610000000000e+02
1631087902642788608,1.347760000000000e+02
1631087902896555776,1.347940000000000e+02
1631087903152285952,1.348190000000000e+02
1631087903408230912,1.348440000000000e+02
1631087903640124928,1.348730000000000e+02
1631087903894386688,1.349000000000000e+02
1631087904150053632,1.349300000000000e+02
1631087904407369728,1.349470000000000e+02
1631087904654624000,1.349640000000000e+02
1631087904886383104,1.349710000000000e+02
1631087905144583424,1.349650000000000e+02
1631087905401367552,1.349610000000000e+02
1631087905643396608,1.349570000000000e+02
1631087905896610560,1.349510000000000e+02
1631087906154337792,1.349490000000000e+02
1631087906411964672,1.349560000000000e+02
1631087906636826624,1.349630000000000e+02
1631087906896218368,1.349870000000000e+02
1631087907151973632,1.350060000000000e+02
1631087907407820544,1.350260000000000e+02
1631087907640583680,1.350380000000000e+02
1631087907902268928,1.350520000000000e+02
1631087908138238976,1.350600000000000e+02
1631087908416722432,1.350560000000000e+02
1631087908654256640,1.350520000000000e+02
1631087908890091520,1.350480000000000e+02
1631087909144965376,1.350450000000000e+02
1631087909399973888,1.350440000000000e+02
1631087909656470272,1.350450000000000e+02
1631087909887044096,1.350490000000000e+02
1631087910150855168,1.350510000000000e+02
1631087910407361536,1.350500000000000e+02
1631087910639845376,1.350340000000000e+02
1631087910908224000,1.350130000000000e+02
1631087911142898688,1.349910000000000e+02
1631087911399602176,1.349800000000000e+02
1631087911653075968,1.349650000000000e+02
1631087911888100864,1.349360000000000e+02
1631087912143370752,1.349010000000000e+02
1631087912400640512,1.348790000000000e+02
1631087912654947328,1.348580000000000e+02
1631087912906820864,1.348340000000000e+02
1631087913140459776,1.348230000000000e+02
1631087913396611072,1.348170000000000e+02
1631087913645068800,1.348190000000000e+02
1631087913878105344,1.348250000000000e+02
1631087914157153280,1.348350000000000e+02
1631087914413179392,1.348540000000000e+02
1631087914647287808,1.348720000000000e+02
1631087914891479296,1.348820000000000e+02
1631087915149609728,1.348940000000000e+02
1631087915406013184,1.348900000000000e+02
1631087915635806208,1.348890000000000e+02
1631087915904999168,1.348830000000000e+02
1631087916140293888,1.348740000000000e+02
1631087916397458688,1.348700000000000e+02
1631087916630278400,1.348570000000000e+02
1631087916897109760,1.348610000000000e+02
1631087917154854912,1.348740000000000e+02
1631087917411267328,1.348920000000000e+02
1631087917645106176,1.349050000000000e+02
1631087917887515904,1.349190000000000e+02
1631087918154004224,1.349270000000000e+02
1631087918388697600,1.349350000000000e+02
1631087918644779264,1.349410000000000e+02
1631087918914556160,1.349400000000000e+02
1631087919148788736,1.349370000000000e+02
1631087919406648576,1.349380000000000e+02
1631087919639269888,1.349390000000000e+02
1631087919895038208,1.349400000000000e+02
1631087920150363904,1.349390000000000e+02
1631087920407383552,1.349390000000000e+02
1631087920639142656,1.349320000000000e+02
1631087920895777536,1.349350000000000e+02
1631087921146766592,1.349360000000000e+02
1631087921405957888,1.349250000000000e+02
1631087921638372864,1.349210000000000e+02
1631087921904039424,1.349120000000000e+02
1631087922139093760,1.349040000000000e+02
1631087922416618496,1.348920000000000e+02
1631087922642804480,1.348780000000000e+02
1631087922896262912,1.348690000000000e+02
1631087923153945344,1.348720000000000e+02
1631087923410770176,1.348810000000000e+02
1631087923637283328,1.348830000000000e+02
